order_id,customer_id,product,amount
1001,101,Phone,1399.98
1002,102,Laptop,1199.99
1003,103,Tablet,1349.97
1004,104,Watch,599.98
1005,105,Headphones,599.96
1006,106,Phone,799.99
1007,107,Camera,1099.98
1008,108,Laptop,999.99
1009,109,Speaker,599.97
1010,110,Tablet,799.98
1011,111,Watch,349.99
1012,112,Headphones,724.95
1013,113,Phone,1499.98
1014,114,Laptop,1299.99
1015,115,Camera,649.99
1016,116,Speaker,719.96
1017,117,Tablet,859.98
1018,118,Phone,2099.97
1019,119,Watch,619.98
1020,120,Headphones,479.97
1021,101,Camera,1119.98
1022,102,Speaker,779.96
1023,103,Tablet,1229.97
1024,104,Watch,329.99
1025,105,Laptop,1249.99
1026,106,Phone,1579.98
1027,107,Headphones,464.97
1028,108,Camera,619.99
1029,109,Speaker,874.95
1030,110,Phone,1519.98
1031,111,Tablet,429.99
1032,112,Watch,1259.96
1033,113,Laptop,1159.99
1034,114,Camera,509.99
1035,115,Speaker,554.97
1036,116,Tablet,1559.96
1037,117,Phone,1539.98
1038,118,Watch,339.99
1039,119,Headphones,374.97
1040,120,Laptop,2379.98
1041,131,Phone,899.99
1042,132,Laptop,1299.99
1043,133,Tablet,449.99
1044,134,Watch,299.99
1045,135,Camera,549.99
1046,101,Speaker,569.97
1047,102,Phone,819.99
1048,103,Headphones,329.98
1049,104,Laptop,1219.99
1050,105,Camera,589.99
